model,replica,n_valid,b_length_cm,b_width_cm,b_thickness_cm,log_a,a,R2_loglog,n
gaussian_copula,0,150,0.5097606262987807,1.9526051519151726,0.3744490499862241,-1.1133019886408186,0.3284725557653363,0.8169204109841883,150
gaussian_copula,1,149,0.25956942317082116,1.8797493390668132,0.6811689960271029,-0.3477745871574971,0.7062580579092851,0.8821110865378393,149
gaussian_copula,2,156,0.7277341131172061,1.6440217784159452,0.5618908993194818,-1.1281125630407995,0.32364353708143806,0.8467226816553342,156
gaussian_copula,3,151,1.015740291272469,1.8180192710704939,0.03331098485043979,-2.2705747009905464,0.10325282352863996,0.8783976761568552,151
gaussian_copula,4,158,0.6062182363429467,2.3158023375619075,-0.05769036904804629,-2.042953090131383,0.12964529079121448,0.909141318575775,158
ctgan,0,66,0.9354178005695921,0.8402622763458951,-0.11154231787982892,-1.2851018355707557,0.27662241219634076,0.364252069360702,66
ctgan,1,77,0.7574368491119218,0.6741196086258243,-0.008006560904766242,-0.594103744902208,0.5520571282231505,0.3072775016940704,77
ctgan,2,71,0.7371498279412374,0.5783620107547536,0.6823116685029651,0.09118099546693825,1.0954672619247328,0.4287336846690538,71
ctgan,3,70,0.6035726451118789,0.5884013629720998,-0.062271264945807904,-0.3046322783349116,0.7373944804689688,0.2480582118079454,70
ctgan,4,71,0.7242438029065915,0.9714302488592912,0.06283800821656622,-0.8807238646525422,0.4144827736361031,0.45739831000339415,71
tvae,0,162,1.120458513818654,0.7153025464296562,0.8416266675429064,-0.7466309819973314,0.4739606479209517,0.765513090816696,162
tvae,1,165,0.6513625162234586,0.7395065849068925,0.776649501614697,0.07399754095224065,1.0768041575801133,0.7375366375151631,165
tvae,2,165,1.009461911176302,0.8725578160685719,0.6514396018017407,-0.8440593146056186,0.42996162665855814,0.7653428766929267,165
tvae,3,165,1.0845907940592796,0.8231089695629416,0.7202870486829253,-0.8890194101818369,0.41105863510114626,0.7905530769367515,165
tvae,4,165,0.7198690155801323,0.9348935152577305,0.9107997873282081,-0.15125718901842644,0.8596265837089784,0.7724930020082914,165
