source,proportion,replica,b_length_cm,b_width_cm,b_thickness_cm,log_a,a,R2_loglog,n
real_train,,,1.62097132777438,0.8758864119556492,0.393348290836093,-2.2540057049750377,0.10497787083643735,0.981611746334375,167
gaussian_copula,0.25,0.0,-0.755294368166685,2.3189174031356123,0.8511708713253663,1.411738693630793,4.10308321038432,0.8900417167589163,37
gaussian_copula,0.25,1.0,-0.2494665066958927,2.2736338295815375,0.2887803074224986,-0.0638982875733356,0.9381004111476464,0.8844917197038711,38
gaussian_copula,0.25,2.0,2.988115511720613,0.8279108517572388,-0.5999767059884273,-5.675043667444206,0.0034305191710224518,0.9151783465067885,35
gaussian_copula,0.25,3.0,-0.5049574236074913,2.730625034961239,0.2761936777017121,-0.02600875144087511,0.974326562810131,0.8940127913578771,37
gaussian_copula,0.25,4.0,0.7394269220487832,1.8999484777934383,-0.08827356735442948,-1.8480075841976822,0.15755076042969868,0.8907248806874132,35
gaussian_copula,0.5,0.0,1.710968009522407,1.5634023820408562,-0.361507321607011,-3.688453963438001,0.025010639530248326,0.8819478547451495,77
gaussian_copula,0.5,1.0,0.935304568953737,1.6719682572440107,0.3822921698432472,-1.6835561896079807,0.1857123719346885,0.8701424844285225,75
gaussian_copula,0.5,2.0,0.2646828757129892,2.2940633958615044,0.22763012462479343,-1.1297969023852787,0.32309887036890045,0.8382214413760183,71
gaussian_copula,0.5,3.0,1.1671599726141102,1.711876944871763,0.000855157369594418,-2.447839920133516,0.08648018900377447,0.849370638724285,79
gaussian_copula,0.5,4.0,-0.012709318728962412,2.813280907160337,-0.010521440226435119,-1.3051762878142144,0.2711247348455419,0.8604538511328386,76
gaussian_copula,1.0,0.0,0.5097606262987807,1.9526051519151726,0.3744490499862241,-1.1133019886408186,0.3284725557653363,0.8169204109841883,150
gaussian_copula,1.0,1.0,0.25956942317082116,1.8797493390668132,0.6811689960271029,-0.3477745871574971,0.7062580579092851,0.8821110865378393,149
gaussian_copula,1.0,2.0,0.7277341131172061,1.6440217784159452,0.5618908993194818,-1.1281125630407995,0.32364353708143806,0.8467226816553342,156
gaussian_copula,1.0,3.0,1.015740291272469,1.8180192710704939,0.03331098485043979,-2.2705747009905464,0.10325282352863996,0.8783976761568552,151
gaussian_copula,1.0,4.0,0.6062182363429467,2.3158023375619075,-0.05769036904804629,-2.042953090131383,0.12964529079121448,0.909141318575775,158
gaussian_copula,2.0,0.0,0.5241116594662794,2.084587957289283,0.24339431311278745,-1.405665836106656,0.24520373658552222,0.9035723796921429,310
gaussian_copula,2.0,1.0,0.8055790337890034,1.779514100059927,0.2810605405639938,-1.626330867639681,0.19664978613628725,0.9147903340992258,303
gaussian_copula,2.0,2.0,0.4820226400442795,2.1306818810299704,0.20173285634982702,-1.4025035858353223,0.24598035945884336,0.9040524582700714,309
gaussian_copula,2.0,3.0,1.050278488763425,1.7659521170162906,0.007222110750129062,-2.2890656655453454,0.10136112281390625,0.8537843387917575,310
gaussian_copula,2.0,4.0,0.7786033408347535,1.9008162725579292,0.17295320754927002,-1.764914208897362,0.17120147341810563,0.8961580939541376,314
ctgan,0.25,2.0,-0.09250932570633554,0.04277904737917844,0.41136583219451767,1.941158527433506,6.966817546312061,0.06977141272189669,21
ctgan,0.5,0.0,0.78274137810096,0.41177717520111456,-0.679601494153462,-0.9397924009287504,0.3907089377524453,0.4220640727181286,29
ctgan,0.5,1.0,0.8044710609731539,0.8023687043952747,-0.3347793080717663,-1.1654871574636632,0.3117707435868587,0.4099291951169768,24
ctgan,0.5,2.0,0.9086890494113582,0.3725136919919902,-0.37369584784296234,-0.8965412020350434,0.4079783368126514,0.28883654814604764,34
ctgan,0.5,3.0,0.6025269609811128,1.1252951863492386,-0.10194827670894996,-0.7744484225718407,0.46095796490023944,0.41677671041344644,41
ctgan,0.5,4.0,0.7390251832971866,0.4329519442127039,-0.24523701737522619,-0.7031152575284494,0.4950407198228343,0.2725758367564396,22
ctgan,1.0,0.0,0.9354178005695921,0.8402622763458951,-0.11154231787982892,-1.2851018355707557,0.27662241219634076,0.364252069360702,66
ctgan,1.0,1.0,0.7574368491119218,0.6741196086258243,-0.008006560904766242,-0.594103744902208,0.5520571282231505,0.3072775016940704,77
ctgan,1.0,2.0,0.7371498279412374,0.5783620107547536,0.6823116685029651,0.09118099546693825,1.0954672619247328,0.4287336846690538,71
ctgan,1.0,3.0,0.6035726451118789,0.5884013629720998,-0.062271264945807904,-0.3046322783349116,0.7373944804689688,0.2480582118079454,70
ctgan,1.0,4.0,0.7242438029065915,0.9714302488592912,0.06283800821656622,-0.8807238646525422,0.4144827736361031,0.45739831000339415,71
ctgan,2.0,0.0,0.9067898539275389,0.5325084363880164,0.15248727364940137,-0.7103175142552849,0.49148811819974964,0.3206028286124998,139
ctgan,2.0,1.0,0.7683611779107883,0.8383463889185782,-0.3147525516591881,-1.1747549307237926,0.3088946710062806,0.4065664483732623,130
ctgan,2.0,2.0,0.7172123322420154,0.5001900801300856,-0.2846821883405594,-0.7306648284236377,0.48158870977350987,0.26405303951738646,135
ctgan,2.0,3.0,0.5644330439680391,0.5436880390512068,-0.27969217745561464,-0.33859274372270476,0.7127726711324092,0.21587235288592876,137
ctgan,2.0,4.0,0.8969787541953564,0.6010688580606511,-0.2080667741662719,-1.0879915281106685,0.3368924536791415,0.29258107700053004,137
tvae,0.25,0.0,0.4959775639813157,0.45366501580351837,1.2750485493965886,1.0094453313201515,2.7440785384006072,0.7462784725771741,40
tvae,0.25,1.0,0.5693938767894617,0.9471054901568181,0.8866696146187083,0.012167658226774458,1.0122419853365037,0.7884724680875022,40
tvae,0.25,2.0,1.10830821434726,1.0465598851083697,0.4397914940161743,-1.3742424181786335,0.25303121506071763,0.7811421422253624,41
tvae,0.25,3.0,0.43535741023867214,0.6149213960223929,1.2261134473162998,0.9726760505460972,2.6450131859816497,0.8641425415158988,40
tvae,0.25,4.0,-0.004041060979287648,1.6355751734612025,0.6435722251335269,0.3894445853421915,1.476160684871784,0.7926678621837129,39
tvae,0.5,0.0,0.8622444523490795,0.9024696290907687,0.5832274018712318,-0.6969394075526063,0.49810747720970233,0.7329003367278611,82
tvae,0.5,1.0,0.7857535945354106,1.1747259215433017,0.7728941282635284,-0.62149751047755,0.537139463042382,0.8297945257306101,83
tvae,0.5,2.0,1.003776349771549,1.00311993574176,0.5159694573036538,-1.003503837361289,0.36659270701105107,0.6785512273171459,83
tvae,0.5,3.0,1.2024047764137962,0.8384688577834483,0.4679241138349608,-1.3220761122627247,0.2665812744003431,0.750894656579684,81
tvae,0.5,4.0,0.5563634139362524,1.2872878448149052,0.7412668164076026,-0.30162487669076343,0.7396154598564839,0.7681869569708066,81
tvae,1.0,0.0,1.120458513818654,0.7153025464296562,0.8416266675429064,-0.7466309819973314,0.4739606479209517,0.765513090816696,162
tvae,1.0,1.0,0.6513625162234586,0.7395065849068925,0.776649501614697,0.07399754095224065,1.0768041575801133,0.7375366375151631,165
tvae,1.0,2.0,1.009461911176302,0.8725578160685719,0.6514396018017407,-0.8440593146056186,0.42996162665855814,0.7653428766929267,165
tvae,1.0,3.0,1.0845907940592796,0.8231089695629416,0.7202870486829253,-0.8890194101818369,0.41105863510114626,0.7905530769367515,165
tvae,1.0,4.0,0.7198690155801323,0.9348935152577305,0.9107997873282081,-0.15125718901842644,0.8596265837089784,0.7724930020082914,165
tvae,2.0,0.0,0.7167267037767261,0.5923807922572996,0.9601177362125781,0.21864504354418512,1.244389494200882,0.7467313681926322,328
tvae,2.0,1.0,0.7890683968890781,0.9875170060721253,0.6970941009053208,-0.5147387124341178,0.5976567344920339,0.7297468816161323,327
tvae,2.0,2.0,0.9192940454111334,0.5301632276158494,1.0538454193876892,-0.005100378241100989,0.9949126066027487,0.7970945983767826,332
tvae,2.0,3.0,0.7532764517270065,0.9542816456878649,0.9447616003186828,-0.16885458210495896,0.8446317190226874,0.7616660663083756,330
tvae,2.0,4.0,0.8677297072658636,1.0180849849460254,0.5756480166112501,-0.8042471852975066,0.44742462764463975,0.7434402354856353,331
