source,replica,R2_loglog
real_train,,0.981611746334375
gaussian_copula,0.0,0.8169204109841883
gaussian_copula,1.0,0.8821110865378393
gaussian_copula,2.0,0.8467226816553342
gaussian_copula,3.0,0.8783976761568552
gaussian_copula,4.0,0.909141318575775
ctgan,0.0,0.364252069360702
ctgan,1.0,0.3072775016940704
ctgan,2.0,0.4287336846690538
ctgan,3.0,0.2480582118079454
ctgan,4.0,0.45739831000339415
tvae,0.0,0.765513090816696
tvae,1.0,0.7375366375151631
tvae,2.0,0.7653428766929267
tvae,3.0,0.7905530769367515
tvae,4.0,0.7724930020082914
