model,proportion,replica,seed,variable,n_synth,ks_stat,ks_p,delta_mean
gaussian_copula,1.0,0,42,weight_g,150,0.20435129740518965,0.0022101042895531606,0.42274795415551214
gaussian_copula,1.0,0,42,length_cm,150,0.14187624750499,0.0730791189844687,0.1087791153953166
gaussian_copula,1.0,0,42,width_cm,150,0.202435129740519,0.0025053648878996444,0.058719767824050084
gaussian_copula,1.0,0,42,thickness_cm,150,0.22570858283433132,0.0004979957772429012,0.007546687755561443
gaussian_copula,1.0,1,123,weight_g,149,0.16091307318249415,0.02923933587801448,0.33142430077405916
gaussian_copula,1.0,1,123,length_cm,149,0.11075834907366477,0.2622887257935657,0.1348502164199994
gaussian_copula,1.0,1,123,width_cm,149,0.15576899891492188,0.03795960008205331,0.05314551512016896
gaussian_copula,1.0,1,123,thickness_cm,149,0.21729694972471164,0.0009374564378278533,0.014245026223663582
gaussian_copula,1.0,2,456,weight_g,156,0.20397666206049447,0.0019686940862741822,0.40506721013890523
gaussian_copula,1.0,2,456,length_cm,156,0.10751573775525874,0.2807928308092095,0.11837516713570206
gaussian_copula,1.0,2,456,width_cm,156,0.13365576539229237,0.09923231715703473,0.07790395321205645
gaussian_copula,1.0,2,456,thickness_cm,156,0.24827268539843392,7.147608431860364e-05,0.01379009856019281
gaussian_copula,1.0,3,789,weight_g,151,0.22576039973034068,0.00048242057652448696,0.8780586244457194
gaussian_copula,1.0,3,789,length_cm,151,0.15299202918665983,0.04246881744580711,0.3408422604360881
gaussian_copula,1.0,3,789,width_cm,151,0.21168259507475118,0.0013112935036993238,0.16482990569536238
gaussian_copula,1.0,3,789,thickness_cm,151,0.28698893603521436,2.8247334714299097e-06,0.030090254988721976
gaussian_copula,1.0,4,1024,weight_g,158,0.18331691048283189,0.007113736083513917,0.2718785303969753
gaussian_copula,1.0,4,1024,length_cm,158,0.08201318881224895,0.604798384365337,0.001643235468462123
gaussian_copula,1.0,4,1024,width_cm,158,0.15163344197680595,0.0415526037718883,0.022483538494164623
gaussian_copula,1.0,4,1024,thickness_cm,158,0.19423178958538617,0.0035936639501210886,-0.005245786957088938
ctgan,1.0,0,42,weight_g,66,0.12184721466158599,0.440691577864121,-0.36201596806387215
ctgan,1.0,0,42,length_cm,66,0.08328796951551454,0.8635502298083526,0.08777898747958623
ctgan,1.0,0,42,width_cm,66,0.13790600616947918,0.2957899917489501,-0.16360914534567206
ctgan,1.0,0,42,thickness_cm,66,0.18490292142986753,0.06719248606164575,-0.026193068408637332
ctgan,1.0,1,123,weight_g,77,0.13865774943619258,0.23383781435105974,-0.17673458278248688
ctgan,1.0,1,123,length_cm,77,0.1351582549187339,0.26130777090769575,0.09102574072633995
ctgan,1.0,1,123,width_cm,77,0.17653005676957778,0.06392832072289412,-0.24997278170930803
ctgan,1.0,1,123,thickness_cm,77,0.20654794307488922,0.018333823697436018,-0.012123804339373323
ctgan,1.0,2,456,weight_g,71,0.12085687779370835,0.42009757736497677,-0.14051362064603268
ctgan,1.0,2,456,length_cm,71,0.06494054145230665,0.9728401158356543,0.06492367377920338
ctgan,1.0,2,456,width_cm,71,0.14674875600910853,0.20723680598056252,-0.14062579067217706
ctgan,1.0,2,456,thickness_cm,71,0.20325546090916757,0.027279047758040124,-0.016184532343763325
ctgan,1.0,3,789,weight_g,70,0.12104362703165103,0.4235601654291874,-0.2966826347305398
ctgan,1.0,3,789,length_cm,70,0.1375534644995723,0.2762435787027612,0.263233532934132
ctgan,1.0,3,789,width_cm,70,0.160136869118905,0.13974078429760917,-0.16010265183917882
