model,proportion,variable,n_real,n_synth_pooled,n_replicas_pooled,ks_stat,ks_p,delta_mean
gaussian_copula,1.0,weight_g,167,764,5,0.18777627990093115,0.00010459765396080097,0.4601159146784761
gaussian_copula,1.0,length_cm,167,764,5,0.10493149826002449,0.09004271852668101,0.13953257612423098
gaussian_copula,1.0,width_cm,167,764,5,0.16127692259460139,0.0013809459725716415,0.07502798229014518
gaussian_copula,1.0,thickness_cm,167,764,5,0.2342775182619055,4.259153202088987e-07,0.011937907866658604
ctgan,1.0,weight_g,167,355,5,0.111343510162773,0.10915754578144958,-0.28152770515307424
ctgan,1.0,length_cm,167,355,5,0.1009867588766129,0.18069807221498435,0.13083916673694773
ctgan,1.0,width_cm,167,355,5,0.10383739563127266,0.15783076009120417,-0.1702032554609092
ctgan,1.0,thickness_cm,167,355,5,0.18353715105001267,0.0007932856756740132,-0.02040988445643932
tvae,1.0,weight_g,167,822,5,0.052857788073488066,0.8097248966436595,-0.20075076125122138
tvae,1.0,length_cm,167,822,5,0.05879481912088225,0.6972790526181775,-0.08039177120212138
tvae,1.0,width_cm,167,822,5,0.05190349228550198,0.8263818690022408,-0.026393927473520318
tvae,1.0,thickness_cm,167,822,5,0.03227850867607851,0.9976086922658012,0.002838119381674442
