model,variable,ks_mean,ks_std,ks_min,ks_max,delta_mean_mean,delta_mean_std,frac_significant
ctgan,length_cm,0.1207,0.047,0.0649,0.1827,0.1313,0.0801,0.0
ctgan,thickness_cm,0.1831,0.0247,0.1455,0.2065,-0.0206,0.0119,0.4
ctgan,weight_g,0.1235,0.0089,0.1149,0.1387,-0.2845,0.1272,0.0
ctgan,width_cm,0.1463,0.0249,0.1103,0.1765,-0.1687,0.0475,0.0
gaussian_copula,length_cm,0.119,0.0285,0.082,0.153,0.1409,0.1234,0.2
gaussian_copula,thickness_cm,0.2345,0.0351,0.1942,0.287,0.0121,0.0128,1.0
gaussian_copula,weight_g,0.1957,0.0245,0.1609,0.2258,0.4618,0.2404,1.0
gaussian_copula,width_cm,0.171,0.0341,0.1337,0.2117,0.0754,0.0538,0.8
tvae,length_cm,0.0773,0.0309,0.0386,0.1208,-0.0807,0.1268,0.0
tvae,thickness_cm,0.0483,0.0175,0.0359,0.073,0.0028,0.0097,0.0
tvae,weight_g,0.0762,0.0217,0.0402,0.0962,-0.201,0.2526,0.0
tvae,width_cm,0.0718,0.0167,0.0578,0.0913,-0.0266,0.0516,0.0
